tweet_id,tweet
1641768565786198019,Wessex Group falls victim to a major data breach, with 930 GB of sensitive information compromised, including documents and copies of passports. This incident underscores the importance of robust cybersecurity measures in every organization. #DataBreach #CyberSecurity #ALPHV https://t.co/gut5p5yuT1
1641706187065262080,RT @vxunderground: Ring LLC, the home security and smart home company owned by Amazon, has been ransomed by ALPHV ransomware group.  They l…
1641684671409864704,3. The Black Cat/AlphV ransomware group gained access into certain file systems of and stole certain data from Indian Sun Pharmaceuticals 4 reports 🔎️https://t.co/bT6NFJpG9s (4/4)
1641677673838592000,RT @SOSIntel: Latest Victim of #ALPHV aka BlackCat Ransomware group: Wessex Group "service group providing fire and security, electrical, b…
1641648107464060928,RT @xnspyofficial: #ALPHV  #hacking #hackers #HackersNews #ethicalhacking #BlackHat #hacker #ransom #hackedaccount #Hacked #threats #threat…
1641591356190539776,Ransomware Victimology: ----------------------------- Date: 2023-03-30 07:12:54 Ransomware Group: #alphv Victim: WESSEX  #Ransomware #CyberSecurity #CyberThreatIntelligence #ThreatIntel
1641563083943432196,@Alphv_Nxur Rt
1641557198512816130,RT @RansomwareNews: Group: alphv Approx. Time: 2023-03-23 08:35:41.202014 Title: bluebirdnetwork
1641557113360064512,RT @RansomwareNews: Group: alphv Approx. Time: 2023-03-22 00:41:33.796271 Title: Kress
1641556701097742336,RT @RansomwareNews: Group: alphv Approx. Time: 2023-03-19 18:34:04.452749 Title: Sunward Pharmaceutical (Sunward)
1641555188887502848,RT @RansomwareNews: Group: alphv Approx. Time: 2023-03-30 06:39:54.157651 Title: WESSEX
1641547951569813504,RT @MassaaraKone: @Alphv_Nxur Amine.🙏🏽
1641547902462861325,@Alphv_Nxur Amine.🙏🏽
1641547157369942016,@Alphv_Nxur 😹 N’tchê kangn. Il va comprendre. Vraiment, n’tésé ka gba kê lombê et puis, ka nia bara kê. Ça ne colle pas du tout.🫠
1641547093209694208,RT @Dylouuu_: @Alphv_Nxur 😂😂😂😂
1641547057184792576,RT @Baddest_Audy: @Alphv_Nxur ❤️
1641547025102544905,RT @Some_Samira: @Mixboi_ @Alphv_Nxur  eh hum
1641538514184437763,RT @RansomwareNews: Group: alphv Approx. Time: 2023-03-30 06:39:54.157651 Title: WESSEX
1641537025684676621,Group: alphv Approx. Time: 2023-03-30 06:39:54.157651 Title: WESSEX
1641534699435597841,RT @RansomwareNews: Group: alphv Approx. Time: 2023-03-22 00:41:33.796271 Title: Kress
1641534274892341275,Group: alphv Approx. Time: 2023-03-23 08:35:41.202014 Title: bluebirdnetwork
1641534009023799297,Group: alphv Approx. Time: 2023-03-22 00:41:33.796271 Title: Kress
1641533386576502799,Group: alphv Approx. Time: 2023-03-19 18:34:04.452749 Title: Sunward Pharmaceutical (Sunward)
1641494609267240962,@Mixboi_ @Alphv_Nxur  eh hum
1641488663795183632,RT @db_digest: Lehigh Valley Health Network: US Healthcare Provider's "Alphv" Ransomware Attack Results In Patients' Health Data Leaked Onl…
1641488182117117969,RT @db_digest: Ring: US Video Doorbell Manufacturer's Third-Party "Alphv/BlackCat" Ransomware Attack Results In Stolen Data Leak Threat htt…
